team_name,common_name,season,country,stadium,logo
Arsenal FC,Arsenal,2018/2019,England,Emirates Stadium,https://apiv3.apifootball.com/badges/141_arsenal.jpg
Tottenham Hotspur FC,Tottenham Hotspur,2018/2019,England,Tottenham Hotspur Stadium,https://apiv3.apifootball.com/badges/164_tottenham-hotspur.jpg
Manchester City FC,Manchester City,2018/2019,England,Etihad Stadium,https://apiv3.apifootball.com/badges/80_manchester-city.jpg
Leicester City FC,Leicester City,2018/2019,England,King Power Stadium,https://apiv3.apifootball.com/badges/155_leicester-city.jpg
Crystal Palace FC,Crystal Palace,2018/2019,England,Selhurt Park,https://apiv3.apifootball.com/badges/3429_crystal-palace.jpg
Everton FC,Everton,2018/2019,England,Goodison Park ,https://apiv3.apifootball.com/badges/3073_everton.jpg
Burnley FC,Burnley,2018/2019,England,Turf Moor,
Southampton FC,Southampton,2018/2019,England,St Mary's Stadium,
AFC Bournemouth,AFC Bournemouth,2018/2019,England,Vitality Stadium,
Manchester United FC,Manchester United,2018/2019,England,Old Trafford,
Liverpool FC,Liverpool,2018/2019,England,Anfield,
Chelsea FC,Chelsea,2018/2019,England,Stamford Bridge,
West Ham United FC,West Ham United,2018/2019,England,London Stadium,
Watford FC,Watford,2018/2019,England,Vicarage Road,
Newcastle United FC,Newcastle United,2018/2019,England,St. Jame's Park,
Cardiff City FC,Cardiff City,2018/2019,Wales,Cardiff City Stadium,
Fulham FC,Fulham,2018/2019,England,Craven Cottage,
Brighton & Hove Albion FC,Brighton & Hove Albion,2018/2019,England,American Express Stadium,
Huddersfield Town FC,Huddersfield Town,2018/2019,England,The John Smith's Stadium,
Wolverhampton Wanderers FC,Wolverhampton Wanderers,2018/2019,England,Molineux Stadium,
